Name|SpecialGeom
Feuille-96-113-union|GEOMETRYCOLLECTION(POLYGON((267378.568045109 6248224.09410603, 267378.047316985 6247615.68411472, 268287.972885489 6247614.85129926, 268288.559425301 6248223.26117091, 267378.568045109 6248224.09410603)))
Feuille-147-148-union|GEOMETRYCOLLECTION(POLYGON((253726.705918263 6250810.93755677,254636.977387285 6250811.59021918,254636.776922928 6251115.90471279,254788.494336052 6251116.00386488,254788.299345792 6251420.32931105,253726.239113212 6251419.57739472,253726.705918263 6250810.93755677)))
Feuille-147-148-union|GEOMETRYCOLLECTION(POLYGON((253726.705918263 6250810.93755677,254636.977387285 6250811.59021918,254636.776922928 6251115.90471279,254788.494336052 6251116.00386488,254788.299345792 6251420.32931105,253726.239113212 6251419.57739472,253726.705918263 6250810.93755677)))
Feuille-147-148|GEOMETRYCOLLECTION(POLYGON((253726.705918263 6250810.93755677,254636.977387285 6250811.59021918,254636.776922928 6251115.90471279,254788.494336052 6251116.00386488,254788.299345792 6251420.32931105,253726.239113212 6251419.57739472,253726.705918263 6250810.93755677)))
46N|GEOMETRYCOLLECTION(POLYGON((253726.705918263 6250810.93755677,254636.977387285 6250811.59021918,254636.776922928 6251115.90471279,254788.494336052 6251116.00386488,254788.299345792 6251420.32931105,253726.239113212 6251419.57739472,253726.705918263 6250810.93755677)))
Feuille-113-union|GEOMETRYCOLLECTION(POLYGON((255546.5787757050129585 6252029.46761844027787447, 256456.98221888899570331 6252029.92226553987711668, 256456.71292062799329869 6252638.64992025028914213, 256304.96802656599902548 6252638.58101782016456127, 256304.82787203200859949 6252942.96126377955079079, 256001.32711033598752692 6252942.81518858019262552, 256001.47824620798928663 6252638.43495323974639177, 255546.24359657100285403 6252638.19520706031471491, 255546.5787757050129585 6252029.46761844027787447)))
33-44-union|GEOMETRYCOLLECTION(POLYGON((266318.79871427599573508 6250811.17187988013029099, 266318.68765340599929914 6250659.01875091996043921, 266470.39681684400420636 6250658.90599207021296024, 266470.05542683997191489 6250202.46303321979939938, 267380.26092969498131424 6250201.72876834031194448, 267380.65170795697486028 6250658.17164810001850128, 267532.36084063001908362 6250658.0396256297826767, 267532.49385342502500862 6250810.19271942041814327, 266318.79871427599573508 6250811.17187988013029099)))
Feuille-179-union|GEOMETRYCOLLECTION(POLYGON((266318.79871427599573508 6250811.17187988013029099, 266318.68765340599929914 6250659.01875091996043921, 266470.39681684400420636 6250658.90599207021296024, 266470.05542683997191489 6250202.46303321979939938, 267380.26092969498131424 6250201.72876834031194448, 267380.65170795697486028 6250658.17164810001850128, 267532.36084063001908362 6250658.0396256297826767, 267532.49385342502500862 6250810.19271942041814327, 266318.79871427599573508 6250811.17187988013029099)))
08-44-union|GEOMETRYCOLLECTION(POLYGON((243714.925660772 6250188.62534942,243866 6250188,243867 6250040,244180 6250040,244180 6250190,244625 6250190,244624 6250610,244624 6250610,244310 6250610,244310 6250797,243713 6250797,243714.925660772 6250188.62534942)))
8-44-union|GEOMETRYCOLLECTION(POLYGON((243714.925660772 6250188.62534942,243866 6250188,243867 6250040,244180 6250040,244180 6250190,244625 6250190,244624 6250610,244624 6250610,244310 6250610,244310 6250797,243713 6250797,243714.925660772 6250188.62534942)))
44S-union|GEOMETRYCOLLECTION(POLYGON((243714.925660772 6250188.62534942,243866 6250188,243867 6250040,244180 6250040,244180 6250190,244625 6250190,244624 6250610,244624 6250610,244310 6250610,244310 6250797,243713 6250797,243714.925660772 6250188.62534942)))
Feuille-71-union|GEOMETRYCOLLECTION(POLYGON((262830.38328145997365937 6253856.644477229565382, 263437.4507702779956162 6253856.42994861956685781, 263437.39180301601300016 6253704.22201985027641058, 263740.920043173013255 6253704.09823574963957071, 263741.24236242700135335 6254465.16523975040763617, 262830.57523198000853881 6254465.50360525026917458, 262830.38328145997365937 6253856.644477229565382)))
29-38-union|GEOMETRYCOLLECTION(POLYGON((262830.38328145997365937 6253856.644477229565382, 263437.4507702779956162 6253856.42994861956685781, 263437.39180301601300016 6253704.22201985027641058, 263740.920043173013255 6253704.09823574963957071, 263741.24236242700135335 6254465.16523975040763617, 262830.57523198000853881 6254465.50360525026917458, 262830.38328145997365937 6253856.644477229565382)))
22-63-union|GEOMETRYCOLLECTION(POLYGON((256462.89685720900888555 6238648.98177395015954971, 257068.86788894899655133 6238649.22902270033955574, 257068.81172828999115154 6238801.16636777017265558, 257371.80272918401169591 6238801.27353130001574755, 257371.70134699300979264 6239105.15641435980796814, 257674.70330056198872626 6239105.25260799005627632, 257674.65807962400140241 6239257.19814577978104353, 256462.62842119901324622 6239256.7474887203425169, 256462.89685720900888555 6238648.98177395015954971)))
35Q-union|GEOMETRYCOLLECTION(POLYGON((242798.43666803199448623 6253230.1909622997045517, 243708.96839129200088792 6253232.03356854990124702, 243707.54992479900829494 6253956.52602452971041203, 243404.01316572999348864 6253955.92273307032883167, 243404.24383397199562751 6253840.24332182016223669, 242797.1787966160045471 6253839.00372401997447014, 242798.43666803199448623 6253230.1909622997045517)))
07-39-union|GEOMETRYCOLLECTION(POLYGON((242798.43666803199448623 6253230.1909622997045517, 243708.96839129200088792 6253232.03356854990124702, 243707.54992479900829494 6253956.52602452971041203, 243404.01316572999348864 6253955.92273307032883167, 243404.24383397199562751 6253840.24332182016223669, 242797.1787966160045471 6253839.00372401997447014, 242798.43666803199448623 6253230.1909622997045517)))
7-39-union|GEOMETRYCOLLECTION(POLYGON((242798.43666803199448623 6253230.1909622997045517, 243708.96839129200088792 6253232.03356854990124702, 243707.54992479900829494 6253956.52602452971041203, 243404.01316572999348864 6253955.92273307032883167, 243404.24383397199562751 6253840.24332182016223669, 242797.1787966160045471 6253839.00372401997447014, 242798.43666803199448623 6253230.1909622997045517)))
26Y-union|GEOMETRYCOLLECTION(POLYGON((245525.79136566299712285 6255670.93834710959345102, 246436.58784607899724506 6255672.48445768002420664, 246435.59299472800921649 6256281.47347627021372318, 246131.97215156999300234 6256280.96905392967164516, 246131.71792087599169463 6256433.22313931956887245, 245828.09161930900881998 6256432.70767591986805201, 245828.61106187000405043 6256128.20228211954236031, 245524.99578838000888936 6256127.6758339898660779, 245525.79136566299712285 6255670.93834710959345102)))
10-35-union|GEOMETRYCOLLECTION(POLYGON((245525.79136566299712285 6255670.93834710959345102, 246436.58784607899724506 6255672.48445768002420664, 246435.59299472800921649 6256281.47347627021372318, 246131.97215156999300234 6256280.96905392967164516, 246131.71792087599169463 6256433.22313931956887245, 245828.09161930900881998 6256432.70767591986805201, 245828.61106187000405043 6256128.20228211954236031, 245524.99578838000888936 6256127.6758339898660779, 245525.79136566299712285 6255670.93834710959345102)))
81L-union|GEOMETRYCOLLECTION(POLYGON((256462.89685720900888555 6238648.98177395015954971, 257068.86788894899655133 6238649.22902270033955574, 257068.81172828999115154 6238801.16636777017265558, 257371.80272918401169591 6238801.27353130001574755, 257371.70134699300979264 6239105.15641435980796814, 257674.70330056198872626 6239105.25260799005627632, 257674.65807962400140241 6239257.19814577978104353, 256462.62842119901324622 6239256.7474887203425169, 256462.89685720900888555 6238648.98177395015954971)))
22-63-union|GEOMETRYCOLLECTION(POLYGON((256462.89685720900888555 6238648.98177395015954971, 257068.86788894899655133 6238649.22902270033955574, 257068.81172828999115154 6238801.16636777017265558, 257371.80272918401169591 6238801.27353130001574755, 257371.70134699300979264 6239105.15641435980796814, 257674.70330056198872626 6239105.25260799005627632, 257674.65807962400140241 6239257.19814577978104353, 256462.62842119901324622 6239256.7474887203425169, 256462.89685720900888555 6238648.98177395015954971)))
